Group,Time,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
OECD,OECD: OECD member countries,604.1,655.3,714.8,686.6,659.5,734,746.5,729.9,758.7,867.9,929,991.3,"1,125.00","1,277.20","1,084.40","1,246.00","1,400.80","1,434.90","1,447.50","1,450.80","1,431.30","1,324.30","1,396.40","1,420.00"
OECD,AUS: Australia,76.7,86.7,87.4,92.2,96.2,100.8,106.9,94.6,95.1,96.2,99,104.3,112,118.4,119.4,105.2,120.5,125.9,118.7,130.2,124.8,120.8,131.7,127.3
OECD,AUT: Austria,30.3,31.5,34.1,34.8,35.2,38.6,40.9,42,44.5,49.2,51.6,53.7,55.2,56.3,43,55.9,59.3,56.6,55.5,52.7,52.8,51,55.2,55.2
OECD,BEL: Belgium,83.4,83.8,84.3,87.3,87.3,97.8,93.3,85.5,87.1,91.6,97,103.8,110.4,110.8,83.3,93.5,95.5,88.1,83.8,81.2,80,80.6,83.4,84.5
OECD,CAN: Canada,206.2,216.7,237.3,251.7,263.8,287.5,278.5,266.8,263.1,269.8,276.4,267.5,276.7,270.3,224.3,228.1,247.3,251.5,256.8,270.5,269.8,265.6,268.1,281
OECD,CHL: Chile,15.5,16.7,20.7,22,24.4,24,24.3,24.3,25.4,36.1,40.6,44,49.1,48.9,39.5,45.1,48.9,44,43.4,41.7,36.9,36.4,36.8,39.7
OECD,COL: Colombia,11.9,12.7,12.9,13.3,12.4,16,15.9,14.8,15,15.3,15.5,14.7,14.4,16,14.7,15.2,18.3,19.1,19.9,22.8,22.9,24.1,22.3,23.2
OECD,CRI: Costa Rica,2.7,2.8,3,3.7,3.7,3.7,3.8,3.6,3.6,3.8,4,4,4.2,4.1,3.5,3.6,3.6,3.7,3.8,3.6,3.5,3.8,3.9,4
OECD,CZE: Czech Republic,46.8,44.4,44.2,44.6,42.3,50.8,50.4,47.5,51.5,62.7,66.5,71.7,76.4,75.6,65.3,69.9,74.6,74.2,68.4,67.4,67.2,66.5,69.1,70.7
OECD,DNK: Denmark,34.1,39.3,36.1,35.6,39.5,46.8,48.2,48.1,53.3,55,66.9,87.7,86.4,93.3,69.5,66.1,66.1,61.7,62.3,58,58.6,52.1,55.5,54.6
OECD,EST: Estonia,8.6,7.9,8.5,8.8,8.6,7,6.7,6.6,7.6,8.1,8.7,8.4,10.6,10.4,8.1,11.4,12,11,12.4,11.4,9.7,9.5,10,9.3
OECD,FIN: Finland,34.2,36,35.9,35.5,37.3,40.4,39.7,40,45,46.3,43,49.1,50.2,47.1,35.8,43,40.7,35.9,36.3,33,28.5,30,30.6,32
OECD,FRA: France,147.3,153.9,158.6,167.3,155.6,173.2,170.3,163.2,163.1,170,179.5,189.8,193,182.8,144.5,163.7,177.3,170.8,170.6,162.6,155,150.8,160.1,169.5
OECD,DEU: Germany,243.4,276.9,248.6,261.5,260.6,311.7,308.1,308.1,317,351.4,365.2,409.5,439.7,441.8,320.3,412.9,430.8,415.9,403.9,394.3,417.5,404.9,400.1,400
OECD,GRC: Greece,15.7,16.6,18.8,20.8,33.2,41.6,36.1,31.4,33.2,29.8,40.8,37.5,49.4,42.4,31.5,32.1,34.6,36.3,35.5,35.1,37.6,34.3,44.3,48.3
OECD,HUN: Hungary,21,22.3,23.4,26.6,28.1,31,31,29.5,31.7,34.2,36,39.7,41.9,43.9,34.9,40.5,41.4,38.5,37.2,37.6,38.9,38.4,41.9,42.1
OECD,ISL: Iceland,2.6,2.8,2.7,2.9,3.1,3.1,3,3.4,3.5,3.3,3.6,3.6,3.8,3.5,3.6,3.5,3.6,3.6,3.7,3.9,4.4,4.4,4.8,5.2
OECD,IRL: Ireland,17.7,18.9,20.8,24.9,25.3,26.2,29.5,34.1,37.4,40.8,44.5,47,45.6,46.1,43.8,43,42.1,42.5,43.6,44.7,50.7,53.2,58.7,63
OECD,ISR: Israel,14.9,15.6,15.8,16.7,19.8,23.1,20.4,21,21.6,24,25.6,25.7,25,24.7,20.6,23.8,23,23,24.6,22.9,22.3,22.2,22.1,23.4
OECD,ITA: Italy,133.7,124.4,126.6,129,127.5,144.4,142,137.6,142.8,154.6,163.4,181.1,191.5,193.3,131.3,164.6,174.7,163.2,153.1,150.1,150,138.2,151.4,155
OECD,JPN: Japan,158.5,163.7,183.4,174.7,174.2,199.5,198.7,207.3,224,255.3,269.1,286.9,316.4,326.2,230.4,288.4,312.7,301.1,313.3,331.1,317.4,275.8,294.5,304.6
OECD,KOR: Korea,187.2,192.6,222.6,242.3,233.6,260.9,245.1,235.4,252.2,289.7,262.3,268.6,287,337.4,304.1,351,403.6,402.6,389.9,375.2,368.6,352.4,355.1,365.9
OECD,LVA: Latvia,3.7,4,3.4,3.5,3.2,3.3,3.3,3.1,3.2,3.6,3.9,4.2,4.7,4.6,3.9,4.8,5.1,5.3,4.8,4.5,5,5.1,5.1,5
OECD,LTU: Lithuania,3.9,4.4,4.7,4.9,3.9,3.9,4.3,4.4,5.8,6,6.9,6.7,5.7,8.7,6.8,7.9,8.1,8.4,8.4,7.5,8.2,8.1,7.9,8.6
OECD,LUX: Luxembourg,11.5,10.2,10.2,10.1,8.8,10.5,10.1,9.8,10.3,12.8,14.4,15.3,15.9,17.2,13.2,15,14.9,15,15.5,18.2,17.2,16,17.2,17
OECD,MEX: Mexico,65.6,74.8,75.7,85,87.5,102.2,97.5,98,110.7,120.8,128.1,138.3,139.8,140.9,133.5,155.4,164.9,169.2,184.7,180.7,196.9,201.4,203.2,206.9
OECD,NLD: Netherlands,115.3,117.6,112,111.3,115.1,122.6,116.3,115.2,117.1,123,128.7,127.8,132.5,133.3,112.6,125.9,130.8,129,129.7,130.5,139,135.8,140.1,139.2
OECD,NZL: New Zealand,10.3,10.6,11.1,11.7,12.5,14.1,14.7,13.9,13.6,13.7,13.4,13.4,13.5,14.7,11.8,12.9,13.1,12.9,13,13.4,13.4,12.6,13.4,13.6
OECD,NOR: Norway,38.9,41.1,44.4,45.9,51.6,53.9,53,50.5,48.4,51.2,51.5,56.9,55.3,55.8,49.6,53.8,50.9,50.7,50.1,50.5,49,36,47.5,38.7
OECD,POL: Poland,80.8,78.1,79.1,83.2,75.4,80.2,75.8,76,90.9,91.7,93.5,103.8,109.1,102.4,90.6,98.6,103.2,102.6,106.1,107.4,109.4,115.5,126.3,131.3
OECD,PRT: Portugal,17,15.8,16.6,18.6,19.7,20.1,19.2,19.8,20.2,21.6,22.7,24,24.1,23.1,20.6,21.8,24.3,24.7,26,25.7,26.9,27.9,30.5,31.7
OECD,SVK: Slovak Republic,23.7,22.4,23,18.1,18,20.4,22,22.1,24.5,27.7,30.6,34.1,36.8,35.5,29.2,32.8,36.3,36.7,34.1,32,31.4,32.6,33.7,34.1
OECD,SVN: Slovenia,7.1,7.1,7.5,7.9,7.3,8,8.8,8.6,9.1,10.5,11.3,12.8,13.4,13.2,9.5,11,12,11.4,10.8,10,10.4,10.6,11.6,11.9
OECD,ESP: Spain,72.4,72.5,83.7,88.1,94.1,112.7,110.6,110.6,116.4,127.2,135.5,137.4,149.3,142,107.9,115.2,129.5,128.4,121.5,119.4,120.6,121.9,136.2,134.7
OECD,SWE: Sweden,38.9,40,39.2,40.9,41.4,44.3,40.3,40.8,43.7,47.3,48.9,53.2,53.4,52.5,39.5,45.1,44.1,41,37.9,38,36.9,37.1,39.3,39.1
OECD,CHE: Switzerland,33.5,34.4,37.4,40,42.8,47.4,49.2,41.9,40.5,43.6,44.5,47.9,52.5,55.6,52.9,64.7,74.9,65.1,65.6,58.5,50.9,55.3,55,48.7
OECD,TUR: Türkiye,30.9,35.5,43.7,45.7,42.8,51.1,59.2,60.1,59.1,63,65.5,71.5,77.2,80.9,86.2,80.6,86.8,98.1,93.2,103.2,112.4,115.9,126.1,132.8
OECD,GBR: United Kingdom,152.2,158.7,156.4,155,155.4,165.4,164.9,160.3,168.6,176.2,183.3,191.8,190.4,188.8,157.8,168.4,172,166.3,158.9,145.6,140.9,129.4,133.8,137.8
OECD,USA: United States,558.9,573.8,628.9,612.2,614.6,662.2,601,518.1,495.6,554.5,585.7,590.9,648.4,699.1,525.9,630.2,682.6,669.7,679.1,686.8,630.1,581.2,589.9,607.5
NONOECD,NONOECD: Non-OECD economies and aggregates,"1,591.20","1,528.60","1,521.20","1,709.70","1,890.40","2,151.00","2,013.10","2,079.40","2,369.70","2,751.90","3,101.80","3,275.90","3,291.60","3,288.40","2,646.50","3,016.90","3,175.90","3,069.40","2,934.40","2,931.60","2,756.20","2,646.30","2,779.30","2,866.40"
NONOECD,ARG: Argentina,9.5,11.4,15.2,13.6,12.5,14.6,14.7,30.7,31.2,37.3,37,38.9,41.3,43.7,36.9,37.2,39.6,36.4,33.9,31.6,26.1,28.7,26.8,30.7
NONOECD,BRA: Brazil,40.9,40.4,39.8,40.6,51.7,62.2,69,81.3,83.8,94.6,90.8,89.5,92.9,94.3,72,80.9,89.1,94.2,94.1,98.3,114.4,101.6,108.4,116
NONOECD,BRN: Brunei Darussalam,2,2.1,2,1.1,1.3,2.1,1.9,1.9,2.6,2.4,2.9,3.7,3,4,4.2,4.6,4.8,4.9,4.8,4.5,2.8,2.7,3.3,3.4
NONOECD,BGR: Bulgaria,28.1,36.5,31.8,29,26,18.5,18.7,17.1,18.9,20.7,21.4,21.8,26.2,25.9,19.1,23.8,28.3,25.6,23.9,26.6,27.1,25.8,28.5,26.7
NONOECD,KHM: Cambodia,0.6,0.4,0.6,0.5,0.7,1.1,1.4,1.6,1.6,1.9,2.1,2.8,2.9,3.2,2.6,3,3,3.6,3.9,4.3,4.8,5.5,5.9,6.4
NONOECD,CHN: China (People's Republic of),442.5,458.6,499.8,541.2,509.1,616.8,612.1,700.4,986.1,"1,342.10","1,691.20","1,866.30","1,969.30","1,989.50","1,605.60","1,918.30","2,020.40","2,060.40","2,038.90","2,041.10","1,958.00","1,805.10","1,926.50","1,948.00"
NONOECD,HRV: Croatia,6.4,7.1,7.6,8.1,8.1,7.7,8.8,9.1,9.1,9.1,8.8,9.1,9.6,8.4,7.3,7.6,7.7,6.9,6.7,6.8,7,6.4,6.8,6.7
NONOECD,CYP: Cyprus,5,4.8,4.8,5.1,5.5,5.6,6,5.5,6.3,6,4.8,5.3,5.6,4.3,4,2.8,2.7,2.6,2.6,2.5,2.4,2.6,2.8,2.8
NONOECD,IND: India,84.7,83.6,93.2,99.2,109,122,121.4,137.9,142.3,178.4,201.8,231.2,259.6,310.3,299.6,349.6,399.1,430.6,448.4,465.9,444.9,441.7,456.7,480.3
NONOECD,IDN: Indonesia,68.3,62.5,70.7,110.1,86.7,93.2,98.8,95.1,107.2,114.9,121.1,123.8,120.1,114.4,102.3,115.7,134.5,119.2,102.1,112.1,112.8,100.3,109.4,124
NONOECD,"HKG: Hong Kong, China",50.9,55.5,52.9,51.7,52.1,58.4,56,58,62,65.2,70.1,77.7,71.3,73.4,70.2,78.3,84,80.5,80.3,71.8,74.6,75.4,71.6,68.9
NONOECD,KAZ: Kazakhstan,55.4,40.2,35.3,32.2,45.6,52.9,39.9,45.2,56.5,67.9,80.9,84.7,93.5,119.1,96.7,105.6,118,114.3,112.8,66.9,50.5,55.8,51,61.2
NONOECD,LAO: Lao People’s Democratic Rep.,0.3,0.3,0.3,0.4,0.4,0.6,0.7,0.6,0.5,0.5,0.7,1.1,1,1.1,1.1,1.5,1.9,2,2.2,2.7,4.6,10.4,13.1,13.4
NONOECD,MYS: Malaysia,75.8,86,91.7,102.7,114.9,122.2,115.7,120.2,124.3,145.2,153.6,161,170.1,176.2,140.1,144.5,151.4,143,142.8,148.8,143.3,132.9,134,143.3
NONOECD,MLT: Malta,2.6,2.4,2.4,2.3,2.4,2.6,2.7,2.8,3,2.9,2.8,3.4,3.7,4.8,4.4,4.7,4.6,4.8,4.6,4.6,4.4,4.8,5,5.1
NONOECD,MAR: Morocco,6.7,6.7,7.1,7.2,8.1,9.4,10.3,10.5,10.3,11.1,13.6,13.1,14.1,15.4,12.4,13.9,15.5,15.6,14.7,16.3,18.2,17.1,18.5,19.1
NONOECD,MMR: Myanmar,1.1,1,0.9,1.4,1.8,2.5,2.7,2.5,2.3,2.7,3,3.6,3.6,2.6,2.6,2.8,2.6,2.9,3.8,4.8,6.2,7.6,9.8,11.1
NONOECD,PER: Peru,3.2,3.8,4.1,4,4.9,5.2,4.8,5.2,5.5,7.8,9.5,10.9,12.7,14.7,13.3,14.6,15.6,14.7,14.2,15.6,14.7,15.4,15.6,16.2
NONOECD,PHL: Philippines,25.3,23.2,26.8,24.7,26.3,25,23.6,23.2,24.4,26.9,27,27.4,28.4,25,22.7,25.9,24.6,23.6,23.6,26.7,27.9,30.7,36,38.6
NONOECD,ROU: Romania,31.1,32.2,31,23.9,23.6,18.5,18.6,19.7,21.6,23.5,22.6,23.4,25.6,27.2,21,23.9,28.5,27,26.9,27,26.7,26,25.4,26.4
NONOECD,RUS: Russian Federation,611.3,496.2,415.6,502.2,710.7,752.5,621.3,581.7,588.4,573,577.5,573,536.7,567.6,501.3,522.1,561.6,565.6,522.8,545.2,528.5,479.7,466.9,506.8
NONOECD,SAU: Saudi Arabia,29.5,32.6,33.1,28,31.9,42.1,39.3,46.4,57.2,63.4,74.4,80.2,85,87.3,62.4,72.4,83,80.6,83,88.3,84.5,82.9,85.8,94.6
NONOECD,SGP: Singapore,82.8,84.6,87.5,84.6,92.8,104.8,110.7,114.1,113.8,133,144,153.8,155,161.7,175.8,203.2,225.8,220.4,231.5,249.5,232.4,217,235.2,241.5
NONOECD,ZAF: South Africa,81.3,91.9,95,104.3,99.5,106.4,149,149.8,142.5,146.7,149,160.1,174.7,201.8,152.1,175.6,183.2,182.2,192.6,199.7,184.3,183.5,183.4,171.9
NONOECD,TWN: Chinese Taipei,93.9,97.1,106.8,115.8,127,155.6,146.1,158.2,172.7,198.8,205.5,222.4,233.7,223.9,187.2,227.4,235.3,225.8,225.9,234.4,219.4,209.1,226.2,232.4
NONOECD,THA: Thailand,65.6,68.2,78.3,80.1,87.8,97.5,100.6,108.1,114.8,133.9,148.4,149.5,157.1,161.2,141.6,156,169.8,180.4,186.6,185.9,184,196,197.2,197.8
NONOECD,TUN: Tunisia,7.1,6.7,7.1,7.4,7.9,8.3,9.4,8.6,8.3,8.6,8,9.1,9.8,10.9,9,10.9,9.5,10.2,10,10.6,9.7,9.3,9.8,10.8
NONOECD,VNM: Viet Nam,10.6,14.2,17.2,19.2,22.3,26.9,30.6,35.3,39.2,47.1,54,59.7,66.5,78.8,77.1,86.2,91.6,94.2,103.8,118.8,146.8,155.2,168.7,204.3
