County_ID,County_Name,Population,White_Population,Non_White_Population
0,Adams,19702,11671,8031
1,Asotin,22636,20833,1803
2,Benton,200715,161897,38818
3,Chelan,76653,58702,17951
4,Clallam,76482,66154,10328
5,Clark,481950,400476,81474
6,Columbia,4024,3480,544
7,Cowlitz,108399,94887,13512
8,Douglas,42520,28729,13791
9,Ferry,7643,5887,1756
10,Franklin,93681,59889,33792
11,Garfield,2258,2033,225
12,Grant,96648,63274,33374
13,Grays Harbor,73769,63746,10023
14,Island,84187,70240,13947
15,Jefferson,31825,28583,3242
16,King,2225064,1383035,842029
17,Kitsap,268945,214819,54126
18,Kittitas,47097,40640,6457
19,Klickitat,22055,20214,1841
20,Lewis,79430,69779,9651
21,Lincoln,10732,10005,727
22,Mason,65326,53800,11526
23,Okanogan,42080,30090,11990
24,Pacific,22121,18643,3478
25,Pend Oreille,13588,11923,1665
26,Pierce,891862,636797,255065
27,San Juan,16953,15443,1510
28,Skagit,127442,103604,23838
29,Skamania,11906,11022,884
30,Snohomish,811572,592542,219030
31,Spokane,513402,446254,67148
32,Stevens,45233,40413,4820
33,Thurston,284698,226452,58246
34,Wahkiakum,4318,3819,499
35,Walla Walla,60785,49683,11102
36,Whatcom,224538,184236,40302
37,Whitman,49577,40111,9466
38,Yakima,250649,180076,70573